Gebietsartschlüssel;Gebietsnummer;Stimmbezirksart;Wahlberechtigte gesamt;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler gesamt;Wähler mit Wahlschein;Ungültige Stimmen;Anzahl CSU;Anteil CSU;Anzahl SPD;Anteil SPD;Anzahl GRÜNE;Anteil GRÜNE;Anzahl FDP;Anteil FDP;Anzahl AfD;Anteil AfD;Anzahl DIE LINKE;Anteil DIE LINKE;Anzahl FREIE WÄHLER;Anteil FREIE WÄHLER;Anzahl PIRATEN;Anteil PIRATEN;Anzahl ÖDP;Anteil ÖDP;Anzahl BP;Anteil BP;Anzahl NPD;Anteil NPD;Anzahl Tierschutzpartei;Anteil Tierschutzpartei;Anzahl MLPD;Anteil MLPD;Anzahl BüSo;Anteil BüSo;Anzahl BGE;Anteil BGE;Anzahl DiB;Anteil DiB;Anzahl DKP;Anteil DKP;Anzahl DM;Anteil DM;Anzahl Die PARTEI;Anteil Die PARTEI;Anzahl Gesundheitsforschung;Anteil Gesundheitsforschung;Anzahl V-Partei³;Anteil V-Partei³
BTSB;2;1;32221;19049;13167;5;26465;12584;82;6215;23,55684 %;3692;13,99386 %;6759;25,61877 %;4430;16,79112 %;1180;4,47258 %;2818;10,68112 %;145;0,54960 %;106;0,40177 %;140;0,53064 %;63;0,23879 %;10;0,03790 %;145;0,54960 %;13;0,04927 %;6;0,02274 %;82;0,31081 %;147;0,55718 %;8;0,03032 %;24;0,09097 %;332;1,25839 %;11;0,04169 %;57;0,21605 %
BTSB;3;1;34632;19983;14645;4;28522;13978;55;7461;26,20929 %;4057;14,25159 %;6228;21,87796 %;5452;19,15200 %;1434;5,03741 %;2523;8,86289 %;199;0,69906 %;103;0,36182 %;227;0,79741 %;56;0,19672 %;11;0,03864 %;158;0,55503 %;14;0,04918 %;4;0,01405 %;50;0,17564 %;91;0,31967 %;3;0,01054 %;39;0,13700 %;279;0,98008 %;14;0,04918 %;64;0,22482 %
BTSB;4;1;45881;27631;18249;1;37623;17474;106;9843;26,23611 %;6173;16,45387 %;7940;21,16374 %;6224;16,58981 %;2215;5,90399 %;3325;8,86265 %;294;0,78364 %;141;0,37583 %;312;0,83162 %;108;0,28787 %;22;0,05864 %;244;0,65037 %;17;0,04531 %;7;0,01866 %;88;0,23456 %;125;0,33318 %;6;0,01599 %;29;0,07730 %;307;0,81830 %;27;0,07197 %;70;0,18658 %
BTSB;5;1;39651;23853;15797;1;32383;14935;115;7585;23,50626 %;5016;15,54481 %;8033;24,89463 %;4670;14,47254 %;1684;5,21879 %;3481;10,78778 %;248;0,76856 %;146;0,45246 %;287;0,88943 %;110;0,34090 %;17;0,05268 %;246;0,76237 %;14;0,04339 %;9;0,02789 %;80;0,24792 %;132;0,40907 %;15;0,04649 %;39;0,12086 %;366;1,13425 %;25;0,07748 %;65;0,20144 %
BTSB;6;1;25650;16150;9498;2;20618;9109;72;4930;23,99494 %;3482;16,94734 %;4713;22,93877 %;2389;11,62757 %;1385;6,74097 %;2352;11,44748 %;212;1,03183 %;82;0,39910 %;154;0,74954 %;88;0,42831 %;15;0,07301 %;191;0,92962 %;12;0,05841 %;4;0,01947 %;70;0,34070 %;110;0,53538 %;6;0,02920 %;37;0,18008 %;254;1,23625 %;18;0,08761 %;42;0,20442 %
BTSB;7;1;35813;23377;12436;0;27810;11897;102;8268;29,83976 %;4751;17,14667 %;4759;17,17554 %;3463;12,49820 %;2344;8,45965 %;2369;8,54988 %;322;1,16212 %;143;0,51610 %;251;0,90588 %;148;0,53414 %;27;0,09744 %;269;0,97084 %;8;0,02887 %;6;0,02165 %;57;0,20572 %;120;0,43309 %;1;0,00361 %;20;0,07218 %;303;1,09355 %;33;0,11910 %;46;0,16602 %
BTSB;8;1;16391;10667;5724;0;12895;5465;63;2667;20,78398 %;2137;16,65368 %;3201;24,94545 %;1511;11,77525 %;756;5,89152 %;1698;13,23254 %;117;0,91178 %;82;0,63903 %;90;0,70137 %;47;0,36627 %;13;0,10131 %;127;0,98971 %;4;0,03117 %;7;0,05455 %;35;0,27276 %;90;0,70137 %;3;0,02338 %;23;0,17924 %;180;1,40274 %;10;0,07793 %;34;0,26496 %
BTSB;9;1;63111;38527;24580;4;51138;23520;168;14080;27,62409 %;8308;16,29978 %;10177;19,96665 %;7252;14,22798 %;3549;6,96292 %;4733;9,28585 %;483;0,94762 %;192;0,37669 %;492;0,96527 %;245;0,48067 %;33;0,06474 %;409;0,80243 %;7;0,01373 %;18;0,03531 %;120;0,23543 %;171;0,33549 %;9;0,01766 %;70;0,13734 %;466;0,91426 %;52;0,10202 %;104;0,20404 %
BTSB;10;1;30732;20834;9897;1;23067;9451;98;7109;30,95041 %;4156;18,09395 %;3095;13,47468 %;2779;12,09892 %;2514;10,94519 %;1780;7,74958 %;312;1,35835 %;100;0,43537 %;198;0,86203 %;192;0,83591 %;21;0,09143 %;241;1,04924 %;8;0,03483 %;6;0,02612 %;49;0,21333 %;54;0,23510 %;7;0,03048 %;36;0,15673 %;223;0,97087 %;40;0,17415 %;49;0,21333 %
BTSB;11;1;36441;26135;10306;0;25341;9845;146;7128;28,29133 %;4878;19,36098 %;3391;13,45902 %;2934;11,64517 %;2828;11,22445 %;2262;8,97797 %;356;1,41298 %;149;0,59139 %;228;0,90494 %;166;0,65886 %;25;0,09923 %;261;1,03592 %;20;0,07938 %;2;0,00794 %;61;0,24211 %;82;0,32546 %;6;0,02381 %;66;0,26196 %;274;1,08752 %;31;0,12304 %;47;0,18654 %
