MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Besucher*innen,insgesamt,2009,Summe,4838190,4661933,,3.78,
Besucher*innen,insgesamt,2009,200901,456325,473790,12.94,-3.69,387039
Besucher*innen,insgesamt,2009,200902,445101,456380,-2.46,-2.47,386099
Besucher*innen,insgesamt,2009,200903,470748,534629,5.76,-11.95,380776
Besucher*innen,insgesamt,2009,200904,279764,282372,-40.57,-0.92,380558
Besucher*innen,insgesamt,2009,200905,318119,298802,13.71,6.46,382168
Besucher*innen,insgesamt,2009,200906,364194,259099,14.48,40.56,390926
Besucher*innen,insgesamt,2009,200907,468979,369126,28.77,27.05,399247
Besucher*innen,insgesamt,2009,200908,401611,380298,-14.36,5.6,401023
Besucher*innen,insgesamt,2009,200909,351620,308448,-12.45,14,404621
Besucher*innen,insgesamt,2009,200910,398935,411515,13.46,-3.06,403573
Besucher*innen,insgesamt,2009,200911,426214,483433,6.84,-11.84,398804
Besucher*innen,insgesamt,2009,200912,456580,404041,7.12,13,403183
Besucher*innen,insgesamt,2008,Summe,4661933,4557858,,2.28,
Besucher*innen,insgesamt,2008,200801,473790,490732,27.57,-3.45,378410
Besucher*innen,insgesamt,2008,200802,456380,407860,-3.67,11.9,382453
Besucher*innen,insgesamt,2008,200803,534629,354387,17.15,50.86,397473
Besucher*innen,insgesamt,2008,200804,282372,287064,-47.18,-1.63,397082
Besucher*innen,insgesamt,2008,200805,298802,383068,5.82,-22,390060
Besucher*innen,insgesamt,2008,200806,259099,362045,-13.29,-28.43,381481
Besucher*innen,insgesamt,2008,200807,369126,427766,42.47,-13.71,376595
Besucher*innen,insgesamt,2008,200808,380298,396968,3.03,-4.2,375205
Besucher*innen,insgesamt,2008,200809,308448,313853,-18.89,-1.72,374755
Besucher*innen,insgesamt,2008,200810,411515,399876,33.41,2.91,375725
Besucher*innen,insgesamt,2008,200811,483433,362856,17.48,33.23,385773
Besucher*innen,insgesamt,2008,200812,404041,371383,-16.42,8.79,388494
Besucher*innen,insgesamt,2007,Summe,4557858,5051434,,-9.77,
Besucher*innen,insgesamt,2007,200701,490732,477863,12.44,2.69,422025
Besucher*innen,insgesamt,2007,200702,407860,434291,-16.89,-6.09,419823
Besucher*innen,insgesamt,2007,200703,354387,459153,-13.11,-22.82,411092
